BTC;Bitcoin;http://bitcoin.org/;3/1/2009;tier1
LTC;Litecoin;http://litecoin.org/;1/10/2011;tier1
PPC;PEERCoin;https://bitcointalk.org/index.php?topic=101820.0;8/12/2012;tier1
NXT;Nxt;https://bitcointalk.org/index.php?topic=345619.0;25/11/2013;tier1
DOGE;Dogecoin;https://bitcointalk.org/index.php?topic=361813.0;8/12/2013;tier2
MSC;mastercoin;https://bitcointalk.org/index.php?topic=265488.0;9/1/2013;tier2
NMC;Namecoin;http://namecoin.info/;4/11/2011;tier2
QRK;Quark;https://bitcointalk.org/index.php?topic=260031.0;;tier2
PTS;ProtoShares;https://bitcointalk.org/index.php?topic=325261.0;;tier2
WDC;Worldcoin;https://bitcointalk.org/index.php?topic=204894.0;;tier2
MEC;Megacoin;https://bitcointalk.org/index.php?topic=218851.0;;tier2
XPM;PrimeCoin;https://bitcointalk.org/index.php?topic=251850.0;;tier2
IFC;infinitecoin;https://bitcointalk.org/index.php?topic=225891.0;;tier2
FTC;FeatherCoin;https://bitcointalk.org/index.php?topic=178286.0;;tier2
NVC;NovaCoin;https://bitcointalk.org/index.php?topic=143221.0;;tier2
TIX;Tickets;https://bitcointalk.org/index.php?topic=297666.0;;tier2
DVC;Devcoin;https://bitcointalk.org/index.php?topic=34586.0;;tier2
ZET;Zetacoin;https://bitcointalk.org/index.php?topic=267545.0;;tier2
TRC;Terracoin;http://terracoin.org/;;tier2
DGC;DigitalCoin;https://bitcointalk.org/index.php?topic=209508.0;;tier2
ANC;Anoncoin;https://bitcointalk.org/index.php?topic=227287.0;;tier2
FRC;Freicoin;http://www.freicoin.org/;;tier2
IXC;IxCoin;https://bitcointalk.org/index.php?topic=36218.0;;tier3
CL;Copperlark;https://bitcointalk.org/index.php?topic=225891.0;;tier3
CGB;CryptogenicBullion;https://bitcointalk.org/index.php?topic=245086.0;;tier3
MNC;Mincoin;https://bitcointalk.org/index.php?topic=165397.0;;tier3
BQC;BBQCoin;https://bitcointalk.org/index.php?topic=93437.0;;tier3
GLD;Goldcoin;https://bitcointalk.org/index.php?topic=231834.0;;tier3
I0C;I0coin;https://bitcointalk.org/index.php?topic=36425.0;;tier3
NET;NetCoin;http://netcoinfoundation.org/;;tier3
BTB;BitBar;https://bitcointalk.org/index.php?topic=238608.0;;tier3
YAC;YACoin;https://bitcointalk.org/index.php?topic=196196.0;;tier3
BTE;Bytecoin;https://bitcointalk.org/index.php?topic=164569.0;;tier3
FLO;Florin;https://bitcointalk.org/index.php?topic=236742.0;;tier3
USC;UnitedScryptCoin;https://bitcointalk.org/index.php?topic=353688.0;;tier3
BLC;Blakecoin;https://bitcointalk.org/index.php?topic=306894.0;;tier3
TAG;TagCoin;https://bitcointalk.org/index.php?topic=317408.0;;tier3
UN;Unobtanium;https://bitcointalk.org/index.php?topic=313126.0;;tier3
PXC;PhenixCoin;https://bitcointalk.org/index.php?topic=211165.0;;tier3
PyBC;Coin;https://bitcointalk.org/index.php?topic=252152.0;;tier3
FRK;Franko;https://bitcointalk.org/index.php?topic=202417.0;;tier3
CAP;Bottlecaps;https://bitcointalk.org/index.php?topic=241445.0;;tier3
NBL;nibble;https://bitcointalk.org/index.php?topic=216637.0;;tier3
GME;Gamecoin;https://bitcointalk.org/index.php?topic=263600.0;;tier3
CNC;CHNCoin;https://bitcointalk.org/index.php?topic=192243.0;;tier3
HBN;HoboNickels;https://bitcointalk.org/index.php?topic=261550.0;;tier3
JKC;JKC;https://bitcointalk.org/index.php?topic=202454.0;;tier3
FST;Fastcoin;https://bitcointalk.org/index.php?topic=218852.0;;tier3
KGC;krugercoin;https://bitcointalk.org/index.php?topic=246803.0;;tier3
BTG;bitgem;https://bitcointalk.org/index.php?topic=207008.0;;tier3
ZCC;ZcCoin;https://bitcointalk.org/index.php?topic=268575.0;;tier3
FEC;FreeCoin;https://bitcointalk.org/index.php?topic=268883.0;;tier3
PHS;Philosopherstone;https://bitcointalk.org/index.php?topic=263744.0;;tier3
AMC;Americancoin;https://bitcointalk.org/index.php?topic=219165.0;;tier3
SPC;supercoin;https://bitcointalk.org/index.php?topic=206164.0;;tier3
LKY;LuckyCoin;https://bitcointalk.org/index.php?topic=214614.0;;tier3
SPT;Spots;https://bitcointalk.org/index.php?topic=259764.0;;tier3
MEM;MEMEcoin;https://bitcointalk.org/index.php?topic=217526.0;;tier3
